 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Ground state electric dipole moment in X,Y,Z:    0.000275    0.000170   -0.000000 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0   150    -0.0823245     0.1332751    -0.0000000    13.49200     0.00811
     0   151    -0.1077469     0.1743364     0.0000000    13.50180     0.01389
     0   152     0.0001224     0.0000751     0.0000000    13.53390     0.00000
     0   153    -0.0000000     0.0000000    -0.4722660    13.57630     0.07418
     0   154    -0.2781692    -0.1719919     0.0000000    13.60880     0.03566
     0   155    -0.0000000    -0.0000000    -0.0000706    13.60920     0.00000
     0   156     0.1536036    -0.2484167    -0.0000000    13.64680     0.02852
     0   157    -0.0005682    -0.0003511     0.0000000    13.69070     0.00000
     0   158     0.0021416    -0.0034801     0.0000000    13.69650     0.00001
     0   159    -0.0000000    -0.0000000     0.0006446    13.71530     0.00000
     0   160    -0.4121659    -0.2546642    -0.0000000    13.75180     0.07909
     0   161    -0.0007266    -0.0004490     0.0000000    13.76970     0.00000
     0   162    -0.0000741     0.0001188    -0.0000000    13.79500     0.00000
     0   163    -0.0007706    -0.0004770     0.0000000    13.81580     0.00000
     0   164     0.0000000    -0.0000000     0.0000004    13.84390     0.00000
     0   165    -0.0000000     0.0000000    -0.0000290    13.87310     0.00000
     0   166     0.0007593     0.0004832     0.0000000    13.88330     0.00000
     0   167    -0.2168331     0.3509172    -0.0000000    13.88450     0.05788
     0   168    -0.0000000    -0.0000000     0.1673749    13.89250     0.00953
     0   169     0.6383386     0.3945880     0.0000000    13.93750     0.19230
     0   170    -0.2681488     0.4328932    -0.0000000    13.95890     0.08868
     0   171     0.0325572    -0.0527819    -0.0000000    13.97160     0.00132
     0   172     0.2564990    -0.4159859    -0.0000000    13.97180     0.08175
     0   173     0.3896476     0.2406378     0.0000000    13.98510     0.07186
     0   174     0.0000000     0.0000000     0.0000000    14.02440     0.00000
     0   175    -0.0000304    -0.0000165    -0.0000000    14.10860     0.00000
     0   176     0.2406158    -0.3894236     0.0000000    14.13190     0.07255
     0   177     0.0000000    -0.0000000    -0.0004467    14.14750     0.00000
     0   178     0.0005115     0.0003236     0.0000000    14.22090     0.00000
     0   179    -0.0000000     0.0000000    -0.0000008    14.27790     0.00000
     0   180    -0.0000000     0.0000000    -0.1287997    14.31690     0.00582
     0   181     0.0000371    -0.0000550    -0.0000000    14.32450     0.00000
     0   182    -0.0000000     0.0000000    -0.0000170    14.33490     0.00000
     0   183     0.0000379     0.0000231     0.0000000    14.37520     0.00000
     0   184    -0.0253129    -0.0156677     0.0000000    14.41740     0.00031
     0   185     0.0000000    -0.0000000    -0.0000051    14.42720     0.00000
     0   186    -0.2295102    -0.1417765     0.0000000    14.47700     0.02581
     0   187    -0.0000000     0.0000000     0.2480197    14.48520     0.02183
     0   188     0.0000000    -0.0000000     0.0043803    14.50240     0.00001
     0   189     0.0004316    -0.0007512    -0.0000000    14.50520     0.00000
     0   190    -0.0000000    -0.0000000    -0.0000003    14.55850     0.00000
     0   191    -0.6023652    -0.3721434    -0.0000000    14.57370     0.17900
     0   192    -0.0000000     0.0000000     0.0000049    14.61220     0.00000
     0   193     0.0006156     0.0003790     0.0000000    14.64060     0.00000
     0   194    -0.0003559     0.0006220    -0.0000000    14.65730     0.00000
     0   195    -0.0000000     0.0000000     0.0000149    14.65960     0.00000
     0   196     0.1868899     0.1154046    -0.0000000    14.66750     0.01734
     0   197     0.3842861    -0.6220156     0.0000000    14.67690     0.19222
     0   198     0.0000000    -0.0000000    -0.3135610    14.68160     0.03537
     0   199     0.0000000    -0.0000000    -0.0000114    14.69230     0.00000
     0   200    -0.0226293    -0.0140280    -0.0000000    14.73120     0.00026
 
 Note: In below output the case of i=j corresponds to contribution of electron to dipole moment of excited state i (contribution of nuclear charges is not taken into account!)
 Transition electric dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1     0.0027288     0.0016873     0.0000000     0.00000     0.00000
     1     2     0.0000280    -0.0000472    -0.0000000     0.62250     0.00000
     1     3    -0.0000000    -0.0000000     0.0000001     1.46650     0.00000
     1     4    -2.0057928    -1.2392753    -0.0000000     1.65780     0.22578
     1     5    -0.0000000     0.0000000     0.4113277     2.23950     0.00928
     1     6     0.0313186    -0.0506852    -0.0000000     2.38310     0.00021
     1     7    -0.0000000    -0.0000000    -0.0000043     2.51370     0.00000
     1     8    -0.0000000     0.0000000     0.0000005     2.63830     0.00000
     1     9     0.0012639    -0.0020476     0.0000000     2.93670     0.00000
     1    10     0.0000000    -0.0000000     0.0006067     3.04070     0.00000
