i j mu_x mu_y mu_z deltaE
1 7 -0.00000000 -0.00000000 -0.00000430 2.51370000
1 8 -0.00000000 0.00000000 0.00000050 2.63830000
1 9 0.00126390 -0.00204760 0.00000000 2.93670000
1 10 0.00000000 -0.00000000 0.00060670 3.04070000
1 11 -0.00000340 -0.00000210 0.00000000 3.33030000
1 12 0.00000000 -0.00000000 0.00000090 3.42840000
1 13 -0.00000000 0.00000000 -0.28616790 3.56580000
1 14 0.00000000 0.00000000 -0.00000340 3.73970000
1 15 -0.00042460 0.00069060 -0.00000000 3.75810000
1 16 0.00064940 0.00040000 0.00000000 3.76420000
1 17 -0.00000000 -0.00000000 -0.00000010 3.80540000
1 18 0.00009780 -0.00015910 0.00000000 3.83430000
1 19 0.00000000 0.00000000 -0.00023380 4.03220000
1 20 -0.11053170 -0.06833500 0.00000000 4.19280000
1 21 -0.01516260 0.02578110 -0.00000000 4.22350000
1 22 -1.09611030 -0.67718250 -0.00000000 4.25710000
1 23 -0.00000000 -0.00000000 0.56894260 4.29870000
1 24 0.00000000 -0.00000000 -0.00001520 4.34690000
1 25 0.04693980 0.02893630 0.00000000 4.48220000
1 26 -0.00008820 -0.00005450 -0.00000000 4.52360000
1 27 -0.33954430 0.54965950 0.00000000 4.60390000
1 28 0.00000000 -0.00000000 0.00000000 4.62880000
1 29 -0.00000000 -0.00000000 0.13863000 4.79870000
1 30 0.00002410 -0.00003900 0.00000000 4.89030000
1 31 -0.00000000 0.00000000 -0.00041470 4.95760000
1 32 -0.00000000 0.00000000 0.00000010 4.99310000
1 33 -0.30664700 0.49644210 -0.00000000 5.03160000
1 34 0.57482500 -0.93027790 0.00000000 5.08000000
1 35 0.00000000 -0.00000000 -0.00001530 5.10940000
1 36 0.00000000 -0.00000000 -0.00000010 5.20680000
1 37 -1.03925330 -0.64209140 -0.00000000 5.26080000
1 38 0.00000000 -0.00000000 0.00001510 5.26540000
1 39 0.00029610 0.00018300 -0.00000000 5.33140000
1 40 -0.00000000 0.00000000 0.05259330 5.33440000
1 41 -0.00000000 0.00000000 0.12695070 5.46360000
1 42 -0.29652480 -0.18319300 0.00000000 5.49200000
1 43 0.00000000 -0.00000000 0.00000000 5.57710000
1 44 0.00000000 -0.00000000 0.02752010 5.67770000
1 45 -0.00001950 0.00003150 -0.00000000 5.68590000
1 46 0.45195510 0.27923730 0.00000000 5.71360000
1 47 -0.00483520 0.00535290 -0.00000000 5.71380000
1 48 0.25634670 0.15838530 -0.00000000 5.76770000
1 49 0.00017230 0.00010650 -0.00000000 5.80260000
1 50 0.00000000 -0.00000000 -0.00000100 5.86100000
1 51 0.00000000 -0.00000000 0.00000030 5.86240000
1 52 0.00000000 -0.00000000 0.00000600 5.89130000
1 53 -0.00031000 -0.00019200 0.00000000 5.92720000
1 54 -0.00000000 0.00000000 0.00005750 5.93900000
1 55 0.00000000 -0.00000000 0.00001700 6.01060000
1 56 -0.00000000 0.00000000 0.00000160 6.05770000
1 57 0.00003160 -0.00005000 -0.00000000 6.06550000
1 58 0.00000000 -0.00000000 -0.00008060 6.14650000
1 59 0.00022730 0.00014030 0.00000000 6.22990000
1 60 0.00000000 -0.00000000 -0.00010240 6.23110000
1 61 -0.01264580 0.02046930 -0.00000000 6.27260000
1 62 -0.00000420 0.00000740 -0.00000000 6.35750000
1 63 -0.00000000 0.00000000 0.00000730 6.44650000
1 64 0.00000000 -0.00000000 0.00000850 6.49820000
1 65 -0.41452080 -0.25610600 -0.00000000 6.51770000
1 66 -0.00108110 -0.00066790 -0.00000000 6.55340000
1 67 0.00000000 0.00000000 -0.02112310 6.60050000
1 68 -0.29961430 -0.18511720 -0.00000000 6.60350000
1 69 0.23930460 0.14784810 0.00000000 6.69480000
1 70 0.00000000 -0.00000000 0.00000810 6.75140000
1 71 0.00000000 -0.00000000 0.00000310 6.80210000
1 72 -0.00000000 0.00000000 0.01288830 6.82740000
1 73 0.00001950 -0.00003160 0.00000000 6.85530000
1 74 -0.00006670 0.00010790 0.00000000 6.89090000
1 75 0.00000000 -0.00000000 -0.00000200 6.92820000
1 76 0.00000000 -0.00000000 -0.00000160 6.93400000
1 77 -0.00000000 0.00000000 0.00000000 6.93510000
1 78 -0.00034810 -0.00017880 0.00000000 7.04250000
1 79 0.29112200 -0.47118240 0.00000000 7.04430000
1 80 0.00020780 0.00012910 -0.00000000 7.10840000
1 81 -0.00010170 -0.00006320 0.00000000 7.18970000
1 82 -0.00000000 0.00000000 -0.00000690 7.25650000
1 83 -0.02355110 -0.01457410 0.00000000 7.30830000
1 84 0.08546850 -0.13832990 0.00000000 7.32630000
1 85 -0.00000000 0.00000000 0.00657770 7.32690000
1 86 0.00232800 -0.00376800 -0.00000000 7.32770000
1 87 0.00000000 -0.00000000 0.00002130 7.32800000
1 88 0.00000000 -0.00000000 -0.00005460 7.33800000
1 89 -0.00000000 0.00000000 -0.00000000 7.36690000
1 90 0.00505000 -0.00816790 0.00000000 7.45090000
1 91 -0.00098630 -0.00061510 0.00000000 7.50170000
