i j mx my mz deltaE
0 156 0.00000000 0.00000000 0.01647510 13.64690000
0 157 0.00000000 0.00000000 -0.00028260 13.69070000
0 158 0.00000000 0.00000000 -2.73205980 13.69650000
0 159 -0.19073360 -0.30861340 0.00000000 13.71520000
0 160 0.00000000 0.00000000 -0.00023490 13.75180000
0 161 0.00000000 0.00000000 -0.00008420 13.76970000
0 162 0.00000000 0.00000000 0.17891220 13.79500000
0 163 0.00000000 0.00000000 -0.00025230 13.81580000
0 164 0.14626880 -0.09036890 0.00000000 13.84390000
0 165 -0.00146530 0.00090380 0.00000000 13.87310000
0 166 0.00000000 0.00000000 -0.00006260 13.88330000
0 167 0.00000000 0.00000000 0.00263860 13.88450000
0 168 -0.00021770 -0.00036970 0.00000000 13.89250000
0 169 0.00000000 0.00000000 0.00002860 13.93750000
0 170 0.00000000 0.00000000 -0.00116650 13.95890000
0 171 0.00000000 0.00000000 -0.16110270 13.97160000
0 172 0.00000000 0.00000000 0.02471030 13.97180000
0 173 0.00000000 0.00000000 0.00005980 13.98510000
0 174 -0.42007440 0.25961990 0.00000000 14.02430000
0 175 0.00000000 0.00000000 0.00001360 14.10860000
0 176 0.00000000 0.00000000 0.00102640 14.13190000
0 177 -0.09086830 -0.14709830 0.00000000 14.14740000
0 178 0.00000000 0.00000000 -0.00000030 14.22090000
0 179 0.11614070 -0.07176580 0.00000000 14.27790000
0 180 -0.00004320 -0.00007780 0.00000000 14.31690000
0 181 0.00000000 0.00000000 -0.31187170 14.32450000
0 182 -0.00057630 0.00034250 0.00000000 14.33490000
0 183 0.00000000 0.00000000 -0.00003570 14.37520000
0 184 0.00000000 0.00000000 0.00004370 14.41740000
0 185 0.15937350 -0.09843800 0.00000000 14.42720000
0 186 0.00000000 0.00000000 0.00022010 14.47700000
0 187 0.00137180 0.00225990 0.00000000 14.48530000
0 188 -0.07918460 -0.12799310 0.00000000 14.50240000
0 189 0.00000000 0.00000000 -0.99456230 14.50510000
0 190 -0.43730790 0.27025120 0.00000000 14.55850000
0 191 0.00000000 0.00000000 0.00008130 14.57370000
0 192 -0.00211520 0.00130680 0.00000000 14.61220000
0 193 0.00000000 0.00000000 -0.00002060 14.64060000
0 194 0.00000000 0.00000000 0.43212760 14.65740000
0 195 0.00108690 -0.00068920 0.00000000 14.65960000
0 196 0.00000000 0.00000000 -0.00026220 14.66750000
0 197 0.00000000 0.00000000 -0.00007310 14.67690000
0 198 0.00011030 0.00018020 0.00000000 14.68160000
0 199 -0.00072420 0.00044070 0.00000000 14.69230000
0 200 0.00000000 0.00000000 0.00000120 14.73120000
1 1 0.00000000 0.00000000 0.00000000 0.00000000
1 2 0.00000000 0.00000000 -1.46366490 0.62250000
1 3 -0.02936770 0.01814600 0.00000000 1.46640000
1 4 0.00000000 0.00000000 0.00001070 1.65780000
1 5 -0.00002180 -0.00004010 0.00000000 2.23960000
1 6 0.00000000 0.00000000 0.00001200 2.38310000
1 7 -0.10201050 -0.16511960 0.00000000 2.51370000
1 8 -0.08309540 0.05133790 0.00000000 2.63830000
1 9 0.00000000 0.00000000 0.00003740 2.93670000
1 10 0.13710890 0.22191330 0.00000000 3.04070000
1 11 0.00000000 0.00000000 -0.00000190 3.33030000
1 12 -0.00003020 0.00001580 0.00000000 3.42850000
1 13 0.00009940 0.00017230 0.00000000 3.56590000
1 14 0.14146240 0.22895970 0.00000000 3.73960000
1 15 0.00000000 0.00000000 0.99804540 3.75800000
1 16 0.00000000 0.00000000 0.00032970 3.76420000
1 17 0.02808720 -0.01733020 0.00000000 3.80540000
1 18 0.00000000 0.00000000 0.21666850 3.83440000
1 19 0.07398220 0.11974580 0.00000000 4.03220000
1 20 0.00000000 0.00000000 -0.00000110 4.19290000
1 21 0.00000000 0.00000000 -0.00009170 4.22350000
1 22 0.00000000 0.00000000 0.00000920 4.25710000
1 23 -0.00018190 -0.00029970 0.00000000 4.29870000
1 24 0.00000890 -0.00000510 0.00000000 4.34690000
1 25 0.00000000 0.00000000 -0.00000030 4.48220000
1 26 0.00000000 0.00000000 -0.00000050 4.52360000
1 27 0.00000000 0.00000000 0.00004730 4.60390000
1 28 -0.02490890 0.01543220 0.00000000 4.62880000
1 29 -0.00019910 -0.00032290 0.00000000 4.79870000
1 30 0.00000000 0.00000000 0.00618940 4.89030000
1 31 -0.12264310 -0.19841950 0.00000000 4.95770000
1 32 -0.17490520 0.10810370 0.00000000 4.99310000
1 33 0.00000000 0.00000000 0.00060610 5.03160000
1 34 0.00000000 0.00000000 0.00100820 5.08000000
1 35 0.00003360 -0.00001960 0.00000000 5.10940000
1 36 0.12194090 -0.07532640 0.00000000 5.20680000
1 37 0.00000000 0.00000000 -0.00000400 5.26080000
1 38 0.02929470 0.04744330 0.00000000 5.26540000
1 39 0.00000000 0.00000000 -0.00000060 5.33140000
1 40 -0.00007600 -0.00012000 0.00000000 5.33440000
1 41 -0.00011980 -0.00019170 0.00000000 5.46360000
1 42 0.00000000 0.00000000 0.00000080 5.49200000
1 43 -0.15075680 0.09312000 0.00000000 5.57720000
1 44 0.00008430 0.00013220 0.00000000 5.67770000
1 45 0.00000000 0.00000000 0.02388690 5.68600000
1 46 0.00000000 0.00000000 0.00000160 5.71360000
1 47 0.00000000 0.00000000 -0.00002010 5.71370000
1 48 0.00000000 0.00000000 -0.00000070 5.76770000
1 49 0.00000000 0.00000000 0.00000560 5.80270000
1 50 -0.13532800 0.08355990 0.00000000 5.86100000
1 51 0.46411130 -0.28661340 0.00000000 5.86240000
1 52 0.00587050 -0.00362370 0.00000000 5.89130000
1 53 0.00000000 0.00000000 -0.00000100 5.92720000
1 54 0.10530670 0.17053950 0.00000000 5.93900000
1 55 -0.05154470 -0.08366100 0.00000000 6.01060000
1 56 0.00025710 -0.00015790 0.00000000 6.05770000
1 57 0.00000000 0.00000000 -0.02624410 6.06560000
1 58 -0.10382380 -0.16818870 0.00000000 6.14650000
1 59 0.00000000 0.00000000 -0.00000190 6.22990000
1 60 -0.22279410 -0.36073490 0.00000000 6.23110000
1 61 0.00000000 0.00000000 -0.00005030 6.27260000
1 62 0.00000000 0.00000000 -0.01490710 6.35750000
1 63 -0.00462880 -0.00750110 0.00000000 6.44650000
1 64 -0.00026140 0.00015590 0.00000000 6.49820000
1 65 0.00000000 0.00000000 -0.00000210 6.51760000
1 66 0.00000000 0.00000000 -0.00000370 6.55340000
1 67 0.00000950 0.00001370 0.00000000 6.60050000
1 68 0.00000000 0.00000000 -0.00000180 6.60340000
1 69 0.00000000 0.00000000 0.00000120 6.69480000
1 70 -0.00003920 0.00002210 0.00000000 6.75140000
1 71 0.00004610 -0.00002870 0.00000000 6.80210000
1 72 -0.00002350 -0.00004290 0.00000000 6.82740000
1 73 0.00000000 0.00000000 -0.01111830 6.85530000
1 74 0.00000000 0.00000000 0.01247180 6.89090000
1 75 0.00006620 -0.00003790 0.00000000 6.92820000
1 76 -0.00781620 -0.01264180 0.00000000 6.93400000
1 77 -0.00189830 0.00112180 0.00000000 6.93500000
1 78 0.00000000 0.00000000 0.00000380 7.04250000
1 79 0.00000000 0.00000000 0.00011650 7.04420000
1 80 0.00000000 0.00000000 0.00000490 7.10840000
1 81 0.00000000 0.00000000 0.00000170 7.18970000
1 82 0.00000240 -0.00000160 0.00000000 7.25650000
1 83 0.00000000 0.00000000 -0.00000000 7.30830000
1 84 0.00000000 0.00000000 -0.00062370 7.32630000
1 85 0.00005200 0.00008090 0.00000000 7.32680000
1 86 0.00000000 0.00000000 -0.02142750 7.32770000
1 87 -0.00000310 0.00000260 0.00000000 7.32800000
1 88 0.01167110 0.01888880 0.00000000 7.33800000
1 89 -0.00504240 0.00310850 0.00000000 7.36690000
1 90 0.00000000 0.00000000 -0.00000720 7.45090000
1 91 0.00000000 0.00000000 0.00001030 7.50170000
1 92 -0.00003530 -0.00007130 0.00000000 7.51040000
1 93 0.00013290 -0.00008250 0.00000000 7.51070000
1 94 0.00000000 0.00000000 -0.00340910 7.57980000
1 95 0.00000000 0.00000000 -0.00000420 7.61700000
1 96 -0.02190930 0.01353040 0.00000000 7.63000000
1 97 0.00000990 0.00001310 0.00000000 7.76510000
1 98 0.00000000 0.00000000 0.00397340 7.79710000
1 99 0.00000000 0.00000000 -0.00000040 7.80050000
1 100 0.00000000 0.00000000 0.00000450 7.82030000
1 101 0.00000000 0.00000000 0.00000020 7.82500000
1 102 -0.00001040 -0.00001820 0.00000000 7.82770000
1 103 0.00000760 0.00001290 0.00000000 7.84330000
1 104 0.00034380 -0.00021060 0.00000000 7.88700000
1 105 0.00000000 0.00000000 0.00000000 7.92780000
1 106 0.00000000 0.00000000 0.00051020 8.03000000
1 107 0.00000000 0.00000000 -0.00869860 8.11150000
1 108 -0.00004010 0.00002320 0.00000000 8.13890000
1 109 0.00000000 0.00000790 0.00000000 8.13920000
1 110 0.00000000 0.00000000 -0.00007920 8.15210000
1 111 0.00000000 0.00000000 0.00003050 8.16190000
1 112 0.00000000 0.00000000 0.00002900 8.20970000
1 113 0.00050360 -0.00030730 0.00000000 8.24490000
1 114 -0.00003050 0.00001780 0.00000000 8.25750000
1 115 0.00000000 0.00000000 0.00466090 8.29870000
1 116 -0.00047940 0.00029360 0.00000000 8.36510000
1 117 0.00000000 0.00000000 0.00000650 8.37340000
1 118 0.00000000 0.00000000 0.00000010 8.38990000
1 119 0.00000000 0.00000000 -0.00000410 8.39560000
1 120 0.01806140 -0.01115190 0.00000000 8.40220000
1 121 0.00000000 0.00000000 -0.00000800 8.44850000
1 122 -0.00157780 -0.00255840 0.00000000 8.54330000
1 123 0.00000000 0.00000000 0.00000000 8.56370000
1 124 -0.02216100 0.01369450 0.00000000 8.60320000
1 125 0.00011980 -0.00003300 0.00000000 8.60330000
1 126 0.00008750 0.00013180 0.00000000 8.71320000
1 127 0.00155540 0.00252660 0.00000000 8.71430000
1 128 -0.01201840 0.00742090 0.00000000 8.79630000
1 129 0.00000000 0.00000000 -0.00001800 8.82900000
1 130 0.00000000 0.00000000 -0.00003900 8.84000000
1 131 -0.01720200 -0.02783910 0.00000000 8.88920000
1 132 0.00000000 0.00000000 0.00000140 8.91120000
1 133 -0.00011540 -0.00016870 0.00000000 8.91670000
1 134 0.07439040 0.12033740 0.00000000 9.08100000
1 135 0.20142630 -0.12446090 0.00000000 9.09810000
1 136 -0.00222260 0.00136440 0.00000000 9.11400000
1 137 0.00000000 0.00000000 0.00000330 9.15970000
1 138 0.00000000 0.00000000 -0.00006060 9.18780000
1 139 -0.08314250 -0.13463310 0.00000000 9.19020000
1 140 0.00000000 0.00000000 0.00003840 9.38370000
1 141 0.01993170 0.03227040 0.00000000 9.38750000
1 142 0.03486590 -0.02148360 0.00000000 9.40910000
1 143 0.00000000 0.00000000 0.02000750 9.41140000
1 144 -0.00020340 0.00011810 0.00000000 9.42430000
1 145 -0.05303530 -0.08591180 0.00000000 9.43990000
1 146 0.00000000 0.00000000 -0.00000080 9.44150000
1 147 0.00000000 0.00000000 -0.00002520 9.49760000
1 148 0.01923820 -0.01190460 0.00000000 9.50650000
1 149 0.00000000 0.00000000 0.00002630 9.55010000
1 150 0.02300390 -0.01420730 0.00000000 9.56390000
1 151 0.05481970 -0.03387580 0.00000000 9.57370000
1 152 0.00004510 0.00007620 0.00000000 9.60570000
1 153 0.00000000 0.00000000 -0.00001490 9.64820000
1 154 0.02862210 0.04642100 0.00000000 9.68070000
1 155 0.00000000 0.00000000 0.00000010 9.68100000
1 156 0.35961060 -0.22220110 0.00000000 9.71880000
1 157 0.00006800 0.00011820 0.00000000 9.76260000
1 158 0.00197860 -0.00122720 0.00000000 9.76840000
1 159 0.00000000 0.00000000 -0.00000020 9.78710000
1 160 0.07552910 0.12214510 0.00000000 9.82370000
1 161 0.00025940 0.00043290 0.00000000 9.84160000
1 162 -0.00002030 0.00001280 0.00000000 9.86690000
1 163 0.00044210 0.00074220 0.00000000 9.88770000
1 164 0.00000000 0.00000000 -0.00004000 9.91580000
1 165 0.00000000 0.00000000 -0.02911410 9.94500000
1 166 0.00012020 0.00019650 0.00000000 9.95520000
1 167 0.02350330 -0.01452100 0.00000000 9.95640000
1 168 0.00000000 0.00000000 0.00000330 9.96440000
1 169 -0.03981090 -0.06441060 0.00000000 10.00940000
1 170 0.02223010 -0.01379010 0.00000000 10.03080000
1 171 -0.00383910 0.00236140 0.00000000 10.04350000
1 172 -0.02423410 0.01494750 0.00000000 10.04370000
1 173 0.00860110 0.01390000 0.00000000 10.05700000
1 174 0.00000000 0.00000000 0.00002830 10.09620000
1 175 -0.00003470 -0.00005850 0.00000000 10.18050000
1 176 0.01038780 -0.00641960 0.00000000 10.20380000
1 177 0.00000000 0.00000000 0.00000010 10.21930000
1 178 0.08045010 0.13019470 0.00000000 10.29280000
1 179 0.00000000 0.00000000 -0.00007550 10.34980000
1 180 0.00000000 0.00000000 -0.00000130 10.38880000
1 181 0.00001260 -0.00000480 0.00000000 10.39640000
1 182 0.00000000 0.00000000 -0.04438320 10.40680000
1 183 0.00003050 0.00004660 0.00000000 10.44710000
1 184 -0.00136870 -0.00220250 0.00000000 10.48930000
1 185 0.00000000 0.00000000 -0.00013520 10.49910000
1 186 -0.15164060 -0.24543460 0.00000000 10.54890000
1 187 0.00000000 0.00000000 0.00000610 10.55720000
