 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Ground state electric dipole moment in X,Y,Z:    0.000274   -0.000169    0.000000 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0   140     0.0000000     0.0000000    -0.0000037    13.31180     0.00000
     0   141     0.2320777    -0.1433918     0.0000000    13.31560     0.02428
     0   142     0.0149048     0.0243327     0.0000000    13.33720     0.00027
     0   143     0.0000000     0.0000000     0.0000113    13.33950     0.00000
     0   144     0.0012377     0.0019777     0.0000000    13.35240     0.00000
     0   145     0.0732942    -0.0452166     0.0000000    13.36800     0.00243
     0   146     0.0000000     0.0000000    -0.0002694    13.36960     0.00000
     0   147     0.0000000     0.0000000     0.1209281    13.42570     0.00481
     0   148     0.0246025     0.0396962     0.0000000    13.43460     0.00072
     0   149     0.0000000     0.0000000     0.0000239    13.47820     0.00000
     0   150    -0.0824309    -0.1333943     0.0000000    13.49200     0.00813
     0   151    -0.1076937    -0.1742858     0.0000000    13.50180     0.01388
     0   152     0.0001121    -0.0000764     0.0000000    13.53380     0.00000
     0   153     0.0000000     0.0000000     0.4722431    13.57630     0.07418
     0   154     0.2781962    -0.1719737     0.0000000    13.60880     0.03566
     0   155     0.0000000     0.0000000    -0.0000674    13.60910     0.00000
     0   156     0.1536037     0.2483838     0.0000000    13.64690     0.02852
     0   157     0.0005634    -0.0003629     0.0000000    13.69070     0.00000
     0   158     0.0022146     0.0034192     0.0000000    13.69650     0.00001
     0   159     0.0000000     0.0000000     0.0006435    13.71520     0.00000
     0   160    -0.4120798     0.2546209     0.0000000    13.75180     0.07905
     0   161    -0.0007547     0.0004825     0.0000000    13.76970     0.00000
     0   162    -0.0000729    -0.0001192     0.0000000    13.79500     0.00000
     0   163    -0.0007744     0.0004843     0.0000000    13.81580     0.00000
     0   164     0.0000000     0.0000000     0.0000020    13.84390     0.00000
     0   165     0.0000000     0.0000000    -0.0000383    13.87310     0.00000
     0   166     0.0008267    -0.0003729     0.0000000    13.88330     0.00000
